date,position,number
2011-10-19,tercero,30
2011-10-19,segundo,38
2011-10-19,primero,79
2011-10-20,primero,24
2011-10-20,tercero,7
2011-10-20,segundo,56
2011-10-21,primero,35
2011-10-21,tercero,41
2011-10-21,segundo,93
2011-10-22,primero,56
2011-10-22,tercero,28
2011-10-22,segundo,80
2011-10-23,primero,1
2011-10-23,tercero,63
2011-10-23,segundo,50
2011-10-24,primero,58
2011-10-24,tercero,55
2011-10-24,segundo,49
2011-10-25,primero,88
2011-10-25,tercero,47
2011-10-25,segundo,62
2011-10-26,primero,23
2011-10-26,tercero,53
2011-10-26,segundo,34
2011-10-27,tercero,99
2011-10-27,segundo,81
2011-10-27,primero,48
2011-10-28,tercero,91
2011-10-28,segundo,73
2011-10-28,primero,73
2011-10-29,primero,96
2011-10-29,tercero,26
2011-10-29,segundo,90
2011-10-30,segundo,13
2011-10-30,primero,7
2011-10-30,tercero,8
2011-10-31,tercero,66
2011-10-31,segundo,50
2011-10-31,primero,30
2011-11-01,tercero,44
2011-11-01,segundo,21
2011-11-01,primero,21
2011-11-02,primero,56
2011-11-02,segundo,16
2011-11-02,tercero,84
2011-11-03,primero,11
2011-11-03,tercero,15
2011-11-03,segundo,5
2011-11-04,tercero,45
2011-11-04,segundo,58
2011-11-04,primero,70
2011-11-05,tercero,32
2011-11-05,segundo,17
2011-11-05,primero,8
2011-11-06,primero,72
2011-11-06,segundo,29
2011-11-06,tercero,5
2011-11-07,segundo,78
2011-11-07,primero,54
2011-11-07,tercero,48
2011-11-08,tercero,67
2011-11-08,segundo,98
2011-11-08,primero,89
2011-11-09,tercero,16
2011-11-09,segundo,55
2011-11-09,primero,81
2011-11-10,primero,0
2011-11-10,tercero,60
2011-11-10,segundo,61
2011-11-11,tercero,29
2011-11-11,segundo,26
2011-11-11,primero,1
2011-11-12,tercero,66
2011-11-12,segundo,94
2011-11-12,primero,80
2011-11-13,tercero,75
2011-11-13,segundo,1
2011-11-13,primero,32
2011-11-14,tercero,28
2011-11-14,segundo,9
2011-11-14,primero,64
2011-11-15,primero,53
2011-11-15,tercero,17
2011-11-15,segundo,27
2011-11-16,tercero,30
2011-11-16,segundo,6
2011-11-16,primero,26
2011-11-17,tercero,92
2011-11-17,segundo,20
2011-11-17,primero,86
2011-11-18,tercero,34
2011-11-18,segundo,3
2011-11-18,primero,66
2011-11-19,primero,91
2011-11-19,tercero,90
2011-11-19,segundo,38
2011-11-20,tercero,37
2011-11-20,segundo,81
2011-11-20,primero,97
2011-11-21,tercero,39
2011-11-21,segundo,44
2011-11-21,primero,75
2011-11-22,tercero,3
2011-11-22,segundo,30
2011-11-22,primero,9
2011-11-23,primero,17
2011-11-23,tercero,16
2011-11-23,segundo,88
2011-11-24,tercero,15
2011-11-24,segundo,21
2011-11-24,primero,17
2011-11-25,tercero,1
2011-11-25,segundo,6
2011-11-25,primero,65
2011-11-26,tercero,24
2011-11-26,segundo,18
2011-11-26,primero,93
2011-11-27,primero,10
2011-11-27,segundo,79
2011-11-27,tercero,17
2011-11-28,primero,47
2011-11-28,tercero,37
2011-11-28,segundo,46
2011-11-29,primero,63
2011-11-29,tercero,42
2011-11-29,segundo,5
2011-11-30,primero,94
2011-11-30,tercero,74
2011-11-30,segundo,3
2011-12-01,tercero,26
2011-12-01,segundo,71
2011-12-01,primero,43
2011-12-02,tercero,5
2011-12-02,segundo,7
2011-12-02,primero,50
2011-12-03,primero,83
2011-12-03,segundo,34
2011-12-03,tercero,27
2011-12-04,segundo,4
2011-12-04,primero,80
2011-12-04,tercero,47
2011-12-05,tercero,31
2011-12-05,segundo,42
2011-12-05,primero,8
2011-12-06,tercero,12
2011-12-06,segundo,52
2011-12-06,primero,95
2011-12-07,primero,10
2011-12-07,tercero,92
2011-12-07,segundo,64
2011-12-08,tercero,17
2011-12-08,segundo,38
2011-12-08,primero,11
2011-12-09,tercero,30
2011-12-09,segundo,19
2011-12-09,primero,63
2011-12-10,tercero,29
2011-12-10,segundo,94
2011-12-10,primero,2
2011-12-11,primero,1
2011-12-11,segundo,64
2011-12-11,tercero,14
2011-12-12,tercero,84
2011-12-12,segundo,48
2011-12-12,primero,38
2011-12-13,tercero,42
2011-12-13,segundo,34
2011-12-13,primero,66
2011-12-14,tercero,62
2011-12-14,segundo,6
2011-12-14,primero,57
2011-12-15,primero,21
2011-12-15,segundo,79
2011-12-15,tercero,51
2011-12-16,primero,97
2011-12-16,tercero,76
2011-12-16,segundo,43
2011-12-17,primero,20
2011-12-17,tercero,0
2011-12-17,segundo,67
2011-12-18,tercero,16
2011-12-18,segundo,46
2011-12-18,primero,4
2011-12-19,tercero,36
2011-12-19,segundo,22
2011-12-19,primero,96
2011-12-20,primero,5
2011-12-20,tercero,96
2011-12-20,segundo,4
2011-12-21,segundo,68
2011-12-21,primero,29
2011-12-21,tercero,89
2011-12-22,tercero,79
2011-12-22,segundo,69
2011-12-22,primero,37
2011-12-23,tercero,5
2011-12-23,segundo,5
2011-12-23,primero,3
2011-12-26,primero,68
2011-12-26,segundo,35
2011-12-26,tercero,54
2011-12-27,primero,27
2011-12-27,tercero,34
2011-12-27,segundo,56
2011-12-28,tercero,75
2011-12-28,segundo,80
2011-12-28,primero,34
2011-12-29,tercero,80
2011-12-29,segundo,78
2011-12-29,primero,7
2011-12-30,primero,2
2011-12-30,segundo,45
2011-12-30,tercero,19
2012-01-02,segundo,4
2012-01-02,primero,10
2012-01-02,tercero,63
2012-01-03,tercero,37
2012-01-03,segundo,25
2012-01-03,primero,22
2012-01-04,tercero,41
2012-01-04,segundo,59
2012-01-04,primero,63
2012-01-05,primero,94
2012-01-05,tercero,37
2012-01-05,segundo,9
2012-01-06,segundo,9
2012-01-06,tercero,19
2012-01-06,primero,25
2012-01-07,primero,86
2012-01-07,tercero,34
2012-01-07,segundo,0
2012-01-08,tercero,41
2012-01-08,segundo,0
2012-01-08,primero,45
2012-01-09,tercero,18
2012-01-09,segundo,80
2012-01-09,primero,11
2012-01-10,primero,44
2012-01-10,segundo,55
2012-01-10,tercero,71
2012-01-11,segundo,42
2012-01-11,primero,3
2012-01-11,tercero,99
