oportunidades,hits,h_hat,delta_rel,z,p_val,stability_score,signos_consistentes,delta_rel_sub,p_val_sub,oportunidades_sub,delta_rel_2015-01-01_2018-12-31,p_val_2015-01-01_2018-12-31,oportunidades_2015-01-01_2018-12-31,recencia_bin,numero,recencia_min,recencia_max,clasificacion_hazard_numero,delta_rel_2011-10-19_2014-12-31,p_val_2011-10-19_2014-12-31,oportunidades_2011-10-19_2014-12-31
381,7,0.01837270341207349,-0.3875765529308836,-1.3304383160710278,0.9083130513690617,0.0,False,"{""2015-01-01_2018-12-31"": -0.3527508090614887}","{""2015-01-01_2018-12-31"": 0.8133696073749977}","{""2015-01-01_2018-12-31"": 206}",-0.3527508090614887,0.8133696073749977,206.0,1-5,00,1,5,ninguno,,,
334,9,0.02694610778443114,-0.10179640718562868,-0.32717525069819076,0.6282323306082077,0.0,True,{},{},{},,,,1-5,01,1,5,ninguno,,,
353,10,0.028328611898016998,-0.05571293673276671,-0.1840848993743437,0.5730265737038646,0.0,True,{},{},{},,,,1-5,02,1,5,ninguno,,,
374,12,0.03208556149732621,0.06951871657754026,0.2364352942814157,0.4065474557663758,0.0,True,{},{},{},,,,1-5,03,1,5,ninguno,,,
412,18,0.043689320388349516,0.45631067961165056,1.6288609115213535,0.05167123326463289,0.0,True,{},{},{},,,,1-5,04,1,5,ninguno,,,
386,15,0.038860103626943004,0.2953367875647669,1.0204364406233561,0.153760759391831,0.0,True,{},{},{},,,,1-5,05,1,5,ninguno,,,
399,4,0.010025062656641603,-0.6658312447786132,-2.3389739183247973,0.9903316083172679,0.0,True,{},{},{},,,,1-5,06,1,5,ninguno,,,
359,11,0.03064066852367688,0.021355617455896005,0.07115970143345932,0.4716353268356629,0.0,True,{},{},{},,,,1-5,07,1,5,ninguno,,,
388,14,0.03608247422680412,0.20274914089347074,0.7023436264368648,0.24123244626921944,0.0,True,{},{},{},,,,1-5,08,1,5,ninguno,,,
380,15,0.039473684210526314,0.3157894736842105,1.082590490617015,0.1394951150210696,0.0,True,"{""2015-01-01_2018-12-31"": 0.43540669856459346}","{""2015-01-01_2018-12-31"": 0.13414950515277757}","{""2015-01-01_2018-12-31"": 209}",0.43540669856459346,0.13414950515277757,209.0,1-5,09,1,5,ninguno,,,
